"","Agro_stab_pam","Agro_sil_pam","Obo_stab_pam","Obo_sil_pam"
"ANOnto","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"AROnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"CBOOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"CBOOnto2","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"CROnto","Stable","Reasonable clust. struct.","Highly stable","Strong clust. struct."
"DITOnto","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"INROnto","Stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"LCOMOnto","Highly stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"NACOnto","Stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"NOCOnto","Highly stable","Reasonable clust. struct.","Highly stable","Strong clust. struct."
"NOMOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"POnto","Highly stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"PROnto","Highly stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"RFCOnto","Highly stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"RROnto","Doubtful","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"TMOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"TMOnto2","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto2","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
